date,region,course,off,race_name,race_type,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-01-25,GB,Kempton (AW),5:30,Unibet Supports Safe Gambling Novice Stakes (GBB Race),Flat,,3yo+,,7f,7f,1408,Standard To Slow,9,5,6,8,5.25,0.3,Hello Arthur (GB),3,G,124,,1:31.26,91.26,29.00,Sean Levey,Conrad Allen,,–,63,Adaay (IRE),Mimram GB,Kheleyf,Qickco Ltd,Slowly away - held up in last - shaken up over 1f out - pushed along and ran on inside final furlong - eyecatcher(op 40/1)
2023-01-25,GB,Kempton (AW),5:30,Unibet Supports Safe Gambling Novice Stakes (GBB Race),Flat,,3yo+,,7f,7f,1408,Standard To Slow,9,8,7,7,7.5,2.25,Royal Razzmatazz (IRE),3,C,124,,1:31.71,91.71,15.00,Callum Shepherd,Charlie Fellowes,,–,57,Tasleet (GB),Royal Visit (IRE),Kings Best,Arjun Waney,Always towards rear(op 22/1)
2023-01-25,GB,Kempton (AW),5:30,Unibet Supports Safe Gambling Novice Stakes (GBB Race),Flat,,3yo+,,7f,7f,1408,Standard To Slow,9,6,8,3,9.5,2,Maitre De Perles (FR),3,G,124,,1:32.11,92.11,51.00,Cameron Noble,Roger Varian,,–,51,Cloth Of Stars (IRE),Carolines Secret GB,Inchinor,Fawzi Abdulla Nass,Midfield - ridden 2f out - soon lost position and beaten
2023-01-25,GB,Kempton (AW),5:30,Unibet Supports Safe Gambling Novice Stakes (GBB Race),Flat,,3yo+,,7f,7f,1408,Standard To Slow,9,1,9,6,13.5,4,My Beauty (IRE),4,F,134,,1:32.91,92.91,151.00,Rhiain Ingram,Roger Ingram,,–,39,Prince Of Lir (IRE),Zanida (IRE),Mujadil,John Oconnor,Took keen hold - prominent on outer - ridden and lost position 2f out - soon weakened (jockey said filly ran too free)(op 80/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,2,1,4,0,0,Bluenose Belle (USA),5,M,140,p,2:21.36,141.36,7.00,David Probert,Richard Phillips,3140.40,65,76,Noble Mission (GB),Poster Girl (USA),War Front,Geoff Lansbury,Steadied start - towards rear of midfield - smooth headway on inner over 2f out - ridden and led over 1f out - kept on well(op 8/1 tchd 11/2 and tchd 17/2)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,9,2,12,0.75,0.75,Early Morning Dew (FR),7,G,136,,2:21.51,141.51,51.00,Jimmy Quinn,Jim & Suzi Best,1473.60,61,71,Muhtathir (GB),Rosee Matinale (FR),Green Tune,Guy Dunphy Leon Best,Dwelt start - raced in last - good headway over 2f out - waiting for room over 1f out - ridden and went second inside final furlong - kept on (jockey said gelding was denied a clear run for a sustained period from approximately 2f out)(op 33/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,7,3,3,2.5,1.75,Solanna (GB),4,G,138,,2:21.86,141.86,4.33,Rob Hornby,John Butler,736.20,65,72,Helmet (AUS),Night Lily (IRE),Night Shift,K Snell,In touch with leaders - switched left and ridden over 2f out - headway over 1f out - lost second inside final furlong - kept on(op 7/2)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,3,4,11,2.75,0.3,Mujid (IRE),8,G,134,,2:21.91,141.91,13.00,Taylor Fisher,Joe Tickle,368.40,64,70,Frankel (GB),Bethrah (IRE),Marju,The Family Affair,Held up in rear - ridden over 2f out - headway on inner and pressed leaders over 1f out - kept on(op 14/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,5,5,6,4.25,1.5,Hashtagmetoo (USA),6,M,139,,2:22.21,142.21,10.00,Saffie Osborne,Jamie Osborne,183.60,64,67,Declaration Of War (USA),Caribbean Princess (USA),Henrythenavigator,The Other Club,Towards rear - ridden over 2f out - headway on outer over 1f out - stayed on(op 7/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,10,6,10,4.75,0.5,Uther Pendragon (IRE),8,G,130,p,2:22.31,142.31,23.00,Jordan Williams,J S Moore,,60,62,Dragon Pulse (IRE),Unreal GB,Dansili,Mrs Wendy Jarrett J S Moore,Midfield - ridden 2f out - kept on but not pace to challenge(op 20/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,1,7,2,5,0.3,Franco Grasso (GB),5,G,142,p,2:22.36,142.36,5.00,Robert Havlin,Peter Chapple-Hyam,,67,69,Frankel (GB),Oakley Girl GB,Sir Percy,Miss S E Wall,Prominent - ridden 2f out - outpaced from 1f out(op 11/2)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,4,8,7,6.75,1.75,Anisoptera (IRE),6,M,136,,2:22.71,142.71,7.00,Harry Burns,Brett Johnson,,64,63,Casamento (IRE),Dragonera GB,Doyen,G Tann N Jarvis,Prominent - dropped to midfield after 3f - ridden over 2f out - weakened gradually from over 1f out(op 9/2)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,8,9,5,7,0.1,Moonlit Cloud (GB),5,M,136,,2:22.78,142.78,26.00,Charlie Bennett,Dean Ivory,,61,59,Sea The Moon (GER),Apple Blossom (IRE),Danehill Dancer,Dr Anne J F Gillespie,Prominent - ridden over 2f out - lost position over 1f out - weakened inside final furlong(op 22/1 tchd 20/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,11,10,1,7.5,0.5,Mr Zee (IRE),6,G,131,,2:22.86,142.86,11.00,Hector Crouch,Michael Blake,,56,54,Zebedee (GB),Monsusu (IRE),Montjeu,Staverton Owners Group,Led - headed and raced in second 5f out - ridden over 2f out - lost position over 1f out - weakened inside final furlong(op 8/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,12,11,8,10.5,3,Cowboy (IRE),4,G,130,,2:23.46,143.46,9.00,George Wood,Neil Mulholland,,57,49,Dark Angel (IRE),Sea Of Grace (IRE),Born To Sea,Neil Mulholland Racing Ltd,Raced in second - led 5f out - ridden over 2f out - headed over 1f out - soon weakened(tchd 7/1)
2023-01-25,GB,Kempton (AW),8:00,Unibet Support Safe Gambling Handicap,Flat,0-65,4yo+,,1m3f,11f,2212,Standard To Slow,12,13,12,13,13.25,2.75,Kanuhura (GB),4,F,126,,2:24.01,144.01,51.00,William Carson,Laura Mongan,,53,40,Kodiac (GB),Gameday GB,Zamindar,Mrs L J Mongan,Midfield on outer - ridden over 2f out - soon weakened(op 28/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,4,1,7,0,0,Dynakite (GB),5,G,135,,1:42.20,102.20,7.00,Clifford Lee,Lee Carter,3140.40,55,64,Adaay (IRE),Ahwahnee GB,Compton Place,John Joseph Smith,Prominent - ridden over 2f out - led inside final furlong - just did enough (trainer said - regarding the apparent improvement in form - that gelding had benefitted from recent veterinary treatment to his knees and joints)(op 9/2 tchd 4/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,2,2,3,0.3,0.3,Faithful Spirit (GB),4,F,136,p,1:42.26,102.26,7.00,John Fahy,Clive Cox,1473.60,56,64,Cable Bay (IRE),Dont Forget Faith (USA),Victory Gallop,The Beechdown Faithful,Led - joined after 3f - led clearly over 2f out - headed inside final furlong - kept on well(op 5/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,10,3,1,1.5,1.25,Catch My Breath (GB),7,G,128,p,1:42.50,102.50,4.50,Darragh Keenan,John Ryan,736.20,48,53,Bated Breath (GB),Likeable GB,Dalakhani,The Out Of Puff Partnership,Prominent - ridden 2f out - kept on
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,6,4,10,2.25,0.75,Hes Our Star (IRE),8,G,134,b,1:42.65,102.65,9.50,Tom Marquand,Tony Carroll,368.40,54,57,Lord Shanakill (USA),Afilla GB,Dansili,Mrs Susan Keable,Held up in rear - pushed along when hampered over 2f out - headway over 1f out - ridden and ran on inside final furlong(op 9/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,9,5,9,2.5,0.2,Global Style (IRE),8,G,129,,1:42.74,102.74,17.00,Rossa Ryan,Tony Carroll,183.60,49,52,Nathaniel (IRE),Danaskaya (IRE),Danehill,Curry House Corner And Partner,Slowly away - in rear - pushed along 2f out - headway over 1f out - stayed on inside final furlong - not reach leaders (jockey said gelding was slow away)(op 14/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,1,6,2,3.25,0.75,Special Times (GB),4,F,137,b,1:42.85,102.85,15.00,Saffie Osborne,Clive Cox,,57,58,Time Test (GB),Salonmare (GER),Manduro,Windmill Racing Iii,Dwelt start - midfield - ridden and some headway on inner over 1f out - held inside final furlong(op 12/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,5,7,6,4.25,1,Bawaader (IRE),8,G,135,,1:43.05,103.05,2.88,Josephine Gordon,Aytach Sadik,,55,54,Dark Angel (IRE),Aspen Falls (IRE),Elnadim,A Sadik,Midfield - ridden on outer over 2f out - pressed leaders over 1f out - weakened inside final furlong (jockey said gelding ran too free)(op 5/2)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,7,8,4,8.75,4.5,Vertical (GB),5,M,133,,1:43.95,103.95,21.00,George Wood,Dr Jon Scargill,,53,42,Al Kazeem (GB),Greenery (IRE),Green Desert,Dr Edna Robson And Partner,Took keen hold - prominent - steadied and dropped to midfield after 2f - ridden 2f out - soon lost position and beaten(op 22/1 tchd 28/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,8,9,8,9.5,0.75,Laurentia (IRE),7,M,124,,1:44.10,104.10,26.00,Emily Ivory,Dean Ivory,,51,38,Iffraaj (GB),Brynica (FR),Desert Style,B Edwards M Hayes,Raced wide back straight - midfield - headway and disputed lead after 3f - pushed along and lost position over 2f out - weakened over 1f out(op 20/1)
2023-01-25,GB,Kempton (AW),6:00,Join Racing TV Now Handicap,Flat,0-55,4yo+,,1m,8f,1609,Standard To Slow,10,3,10,5,10,0.5,History Writer (IRE),8,G,130,p,1:44.20,104.20,67.00,Aidan Keeley,Mark Hoad,,55,41,Canford Cliffs (IRE),Abhasana (IRE),Hawk Wing,Mrs K B Tester,Slowly into stride - always towards rear(op 50/1)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,1,1,1,0,0,Al Ghanim (GB),3,G,128,,2:32.83,152.83,2.88,Tom Marquand,Mark Loughnane,3140.40,48,53,Iffraaj (GB),Inala GB,Cape Cross,Promenade Bloodstock Limited,Prominent - ridden and led under 2f out - edged left inside final furlong - kept on - bled from the nose (vet said gelding bled from the nose)(tchd 2/1)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,4,2,5,1.5,1.5,Fadi (FR),3,C,128,,2:33.13,153.13,2.10,Finley Marsh,Richard Hughes,1473.60,46,50,Mehmas (IRE),Perspective (IRE),New Approach,Eamon Kelly Partner,Prominent - ridden and every chance 2f out - kept on final furlong - always held(op 11/8)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,3,3,3,1.75,0.3,Dafyre (GB),3,F,128,,2:33.18,153.18,8.00,David Probert,J S Moore,736.20,47,49,U S Navy Flag (USA),Mille Tank GB,Mastercraftsman,Lee Yuk Lun Alan J S Moore,Steadied start - held up in last - pushed along and headway over 1f out - ridden inside final furlong - kept on(op 8/1 tchd 13/2)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,5,4,2,3.5,1.75,Immersion (FR),3,F,128,b,2:33.53,153.53,51.00,Clifford Lee,George Boughey,368.40,20,46,Born To Sea (IRE),First Chope (FR),Indian Rocket,Nick Bradley Racing 27 Partner,Led - ridden 2f out - soon headed and outpaced(op 20/1)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,6,5,4,6.75,3.25,Me And Mrs Jones (IRE),3,F,128,,2:34.18,154.18,29.00,Callum Shepherd,Sylvester Kirk,183.60,42,40,Acclamation (GB),She Believes (IRE),Arcano,Marchwood Recycling Ltd,In touch with leaders - ridden 2f out - weakened gradually from 1f out(op 16/1)
2023-01-25,GB,Kempton (AW),4:55,Follow @racingtv On Twitter Classified Stakes,Flat,0-50,3yo,,1m3f,11f,2212,Standard To Slow,6,2,6,6,7,0.2,Boucle (GB),3,F,128,,2:34.27,154.27,10.00,Hector Crouch,Edward Bethell,,48,40,Mondialiste (IRE),Benaras (USA),Gio Ponti,Geoff Sandra Turnbull,Ducked left start - towards rear but in touch with leaders - pushed along over 2f out - dropped to last when hung badly left over 1f out (jockey said filly hung left-handed)(op 7/1 tchd 13/2)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,2,1,4,0,0,Pride Of America (FR),6,G,135,t,2:19.48,139.48,6.50,Tom Marquand,Amy Murphy,12885,98,110,American Post (GB),Atarfe (IRE),Anabaa,Havent A Pot D Macauliffe Anoj Don,Took keen hold - made all - went clear from 8f out - 12 lengths ahead 3f out - ridden 2f out - reduced lead final 110yds - eased towards finish - unchallenged(op 9/2 tchd 6/1)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,7,2,5,2.25,2.25,Capital Theory (GB),4,G,119,,2:19.93,139.93,4.00,Franny Norton,Charlie Johnston,6042.50,84,91,Muhaarar (GB),Montalcino (IRE),Big Bad Bob,Dr J Walker,Raced in second - ridden over 2f out - kept on from over 1f out - no match for winner(op 7/2 tchd 11/4)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,3,3,2,3.5,1.25,Ziggy (GB),5,G,132,,2:20.18,140.18,1.91,Daniel Muscutt,Harry Eustace,3022.50,95,100,Sixties Icon (GB),Brushing GB,Medicean,Sarabex And Aragon Racing,Prominent in chasing group - ridden from over 2f out - no chance with winner but kept on from over 1f out(op 4/5)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,8,4,3,4,0.5,Melek Alreeh (USA),4,C,116,,2:20.28,140.28,15.00,Adam Farragher,David Simcock,1510,84,88,Lemon Drop Kid (USA),Bargain Blitz (USA),Rahy,Raed El Youssef,Took keen hold - midfield - ridden over 2f out - no chance with winner but disputing third from over 1f out - kept on (jockey said colt ran too free)(op 20/1 tchd 12/1)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,1,5,8,5.25,1.25,King Of The South (IRE),6,G,140,v,2:20.53,140.53,13.00,Callum Shepherd,William Knight,755,103,105,Kingman (GB),South Atlantic (USA),Stormy Atlantic,Saif Ali,Steadied start - held up in rear - ridden over 2f out - kept on - never dangerous(tchd 14/1)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,5,6,7,10.75,5.5,Vazir (FR),5,G,122,p,2:21.63,141.63,34.00,Kieran ONeill,Alan King,377.50,85,77,Siyouni (FR),Vazira (FR),Sea The Stars,The Unlikely Lads,Dwelt start - never better than mid-division - ridden over 2f out - never on terms(op 80/1)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,6,7,6,11.5,0.75,State Legend (IRE),4,G,120,,2:21.78,141.78,51.00,Saffie Osborne,Ian Williams,,85,76,Churchill (IRE),Zibeling (IRE),Cape Cross,Rubicon Racing,Took keen hold - prominent in chasing group - weakened 3f out - lost position and weakened from 2f out(op 25/1 tchd 50/1)
2023-01-28,GB,Kempton (AW),7:30,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier),Flat,0-105,4yo+,,1m3f,11f,2212,Standard To Slow,8,4,8,1,13,1.5,Sky Defender (GB),7,G,127,,2:22.08,142.08,29.00,Jason Watson,David OMeara,,90,78,Farhh (GB),Al Mahmeyah GB,Teofilo,Hamad Rashed Bin Ghedayer,Always towards rear - never dangerous(op 33/1 tchd 25/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,8,1,1,0,0,Crystal Casque (GB),8,M,124,,1:39.84,99.84,9.00,Oliver Searle,Rod Millman,6280.80,76,84,Helmet (AUS),Crystal Moments GB,Haafhd,The Dirham Partnership,Took keen hold - prominent - ridden and led 2f out - 2 lengths ahead inside final furlong - kept on but reduced lead final 110yds - always doing enough(op 10/1 tchd 11/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,7,2,8,0.5,0.5,May Night (GB),5,G,131,tp,1:39.94,99.94,11.00,Rossa Ryan,Stuart Williams,2947.20,76,83,Mayson (GB),Dream Melody GB,Selkirk,Tje Racing,Midfield - ridden 2f out - went second and kept on strongly final 110yds - always held(op 9/1 tchd 11/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,1,3,5,1,0.5,Billy Mill (GB),5,G,137,,1:40.04,100.04,11.00,Saffie Osborne,Rod Millman,1472.40,82,88,Adaay (IRE),Phantom Spirit GB,Invincible Spirit,Canisbay Bloodstock,Midfield - switched right and headway on inner under 2f out - went third final 110yds - kept on but hung left towards finish(op 15/2)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,5,4,12,1.25,0.2,Sense Of Worth (IRE),7,G,132,,1:40.13,100.13,41.00,Clifford Lee,Tony Carroll,736.80,77,82,Street Sense (USA),Desert Song (USA),Unbridleds Song,Miss Victoria Baalham,Took keen hold - towards rear of midfield - pushed along over 2f out - headway and kept on strongly inside final furlong - went fourth inside final 110yds - not reach leaders (jockey was questioned regarding his riding of the gelding in home straight when given a hands and heels ride to the finish; jockey explained gelding is a big horse that was back in trip today and his instructions were to drop gelding in from a wide draw and get gelding to finish - and in his opinion gelding was doing his best work late on despite lugging right-handed)(op 33/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,11,5,2,2,0.75,Asdaa (IRE),7,G,129,p,1:40.24,100.24,9.00,Franny Norton,Charlie Johnston,367.20,74,78,Dutch Art (GB),Danseuse De Reve (IRE),Invincible Spirit,Owners Group 045,Took keen hold - midfield - ridden 2f out - no impression until kept on final 110yds - not pace to challenge(op 7/1 tchd 17/2)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,9,6,4,2,0.05,Uzincso (GB),7,G,131,,1:40.25,100.25,3.50,Daniel Muscutt,John Butler,,76,80,Mayson (GB),Capacious GB,Nayef,Recycled Products Limited,Raced in second - ridden and every chance 2f out - lost two places and no extra final 110yds - lost two places towards finish(op 11/4)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,4,7,9,2.75,0.75,Counsel (GB),5,G,133,ht,1:40.39,100.39,8.50,Kieran ONeill,Ian Williams,,78,80,Frankel (GB),Honorina GB,Sea The Stars,Sayed Hashish,Took keen hold - held up in rear - ridden over 2f out - raced awkwardly and hung right from 2f out - switched left 1f out - kept on well final 110yds - never near to challenge (jockey said gelding hung right-handed)(tchd 8/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,12,8,7,3,0.3,Mawkeb (USA),5,G,128,b,1:40.44,100.44,5.00,Tom Marquand,Michael Appleby,,73,74,Kittens Joy (USA),Illegal Search (USA),Officer,Mrs Donna Hopkins,Took keen hold - towards rear of midfield - ridden over 2f out - kept on inside final furlong - not pace to challenge(op 11/2)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,6,9,11,3.25,0.2,Tiger Beetle (GB),5,G,132,tp,1:40.53,100.53,67.00,William Cox,Mark Rimell,,77,78,Camelot (GB),Beach Frolic GB,Nayef,Mark Rimell,Held up in rear - ridden 2f out - bit short of room but kept on inside final furlong - never near to challenge (jockey said gelding was denied a clear run in the straight)(op 28/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,2,10,13,3.75,0.5,George Morland (GB),5,G,130,p,1:40.59,100.59,21.00,Frederick Larson,Amy Murphy,,78,78,Camacho (GB),Baharah (USA),Elusive Quality,Amy Murphy,Always towards rear - ridden 2f out - bit short of room but kept on inside final furlong - never near to challenge (jockey said gelding was denied a clear run in the straight)(tchd 18/1 and tchd 22/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,13,11,6,3.75,0.05,New Shepard (IRE),4,G,126,,1:40.60,100.60,41.00,Dylan Hogan,Robert Eddery,,71,70,No Nay Never (USA),Caelis GB,Avonbridge,Julia Rayment Brett Lawrence,Dwelt start - soon recovered and in touch with leaders - ridden and went third over 1f out - lost position and weakened inside final furlong(op 20/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,3,12,10,4,0.2,Seasett (GB),5,G,133,p,1:40.68,100.68,10.00,Callum Shepherd,Charlie Fellowes,,78,77,Wootton Bassett (GB),Sea Horn (FR),Fastnet Rock,Paul Wildes,Held up in midfield - switched left and ridden over 2f out - made no telling impression(op 10/1)
2023-01-28,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Mile Series Qualifier),Flat,0-80,4yo+,,1m,8f,1609,Standard To Slow,13,10,13,3,16,12,Spells At Dawn (IRE),4,G,129,h,1:43.04,103.04,41.00,Jason Watson,Alex French,,74,45,Dawn Approach (IRE),Spellcraft GB,Dubawi,Newgen Racing Group Partner 2,Led - ridden and lost two places 2f out - lost ground quickly over 1f out - dropped to last and became detached final furlong(op 28/1)
2023-01-28,GB,Kempton (AW),6:00,Try Our New Price Boosts At Unibet Fillies Handicap,Flat,0-70,4yo+,F,7f,7f,1408,Standard To Slow,6,5,1,2,0,0,Rooful (GB),5,M,125,,1:25.94,85.94,1.91,Charles Bishop,Eve Johnson Houghton,4187.20,60,76,Charming Thought (GB),Roodle GB,Xaar,Mrs R F Johnson Houghton,Mounted in chute and taken down early - held up in rear - headway and going easily when joined leaders 2f out - ridden and quickened to lead over 1f out - ran on well - comfortably(op 4/5 tchd Evens)
2023-01-28,GB,Kempton (AW),6:00,Try Our New Price Boosts At Unibet Fillies Handicap,Flat,0-70,4yo+,F,7f,7f,1408,Standard To Slow,6,3,2,4,3.75,3.75,Piffle (IRE),4,F,132,,1:26.69,86.69,3.50,Tom Marquand,Ed Walker,1964.80,67,72,Camacho (GB),Siphon Melody (USA),Siphon,Mrs T Walker,Midfield - switched left and ridden over 2f out - went second and hung right 1f out - kept on - no match for winner(op 9/4 tchd 85/40)
2023-01-28,GB,Kempton (AW),6:00,Try Our New Price Boosts At Unibet Fillies Handicap,Flat,0-70,4yo+,F,7f,7f,1408,Standard To Slow,6,2,3,3,8,4.25,Angel Amadea (GB),5,M,132,,1:27.54,87.54,21.00,Charlie Bennett,Rebecca Menzies,981.60,67,59,Dark Angel (IRE),Keene Dancer GB,Danehill Dancer,Flash Figs Racing,Prominent - ridden 2f out - every chance when went second 2f out - outpaced and beaten when lost second 1f out - weakened inside final furlong(op 18/1 tchd 22/1)
2023-01-28,GB,Kempton (AW),6:00,Try Our New Price Boosts At Unibet Fillies Handicap,Flat,0-70,4yo+,F,7f,7f,1408,Standard To Slow,6,4,4,1,9.25,1.25,Areille (IRE),4,F,130,p,1:27.79,87.79,23.00,Dylan Hogan,Jack Jones,491.20,65,54,The Last Lion (IRE),Likewise (IRE),Bushranger,Private Equineity,Dwelt start - held up in last - ridden over 2f out - went fourth final strides - never dangerous(op 25/1 tchd 18/1 and tchd 28/1)
2023-01-28,GB,Kempton (AW),6:00,Try Our New Price Boosts At Unibet Fillies Handicap,Flat,0-70,4yo+,F,7f,7f,1408,Standard To Slow,6,6,5,6,9.5,0.3,Social Contact (GB),4,F,122,,1:27.84,87.84,17.00,Clifford Lee,Tony Carroll,244.80,57,45,Night Of Thunder (IRE),Operettist GB,Singspiel,Longview Stud Bloodstock Ltd,Raced in second - ridden and lost position 2f out - soon outpaced - weakened final furlong - lost fourth final strides(tchd 18/1)
